T,T_k,M,LW,LW_h,LW_t
50,323.15,0,0.00,3.661006259,3.661007825
50,323.15,0.065656566,0.23,3.661006259,3.887908293
50,323.15,0.131313131,0.47,3.661006259,4.130582009
50,323.15,0.196969697,0.74,3.661006259,4.396074167
50,323.15,0.262626263,1.02,3.661006259,4.681793927
50,323.15,0.328282828,1.32,3.661006259,4.985017677
50,323.15,0.393939394,1.64,3.661006259,5.303311017
50,323.15,0.45959596,1.97,3.661006259,5.634514495
50,323.15,0.525252525,2.32,3.661006259,5.976711548
50,323.15,0.590909091,2.67,3.661006259,6.328200474
50,323.15,0.656565657,3.03,3.661006259,6.687435962
50,323.15,0.722222222,3.39,3.661006259,7.04667145
50,323.15,0.787878788,3.76,3.661006259,7.423634835
50,323.15,0.853535354,4.14,3.661006259,7.798111288
50,323.15,0.919191919,4.51,3.661006259,8.172587741
50,323.15,0.984848485,4.89,3.661006259,8.547064194
50,323.15,1.050505051,5.26,3.661006259,8.921540647
50,323.15,1.116161616,5.65,3.661006259,9.313029723
50,323.15,1.181818182,6.03,3.661006259,9.691080435
50,323.15,1.247474747,6.41,3.661006259,10.0670005
50,323.15,1.313131313,6.78,3.661006259,10.43989796
50,323.15,1.378787879,7.15,3.661006259,10.81279541
50,323.15,1.444444444,7.52,3.661006259,11.18569286
50,323.15,1.51010101,7.87,3.661006259,11.5315704
50,323.15,1.575757576,8.22,3.661006259,11.88345354
50,323.15,1.641414141,8.57,3.661006259,12.22777937
50,323.15,1.707070707,8.90,3.661006259,12.56358247
50,323.15,1.772727273,9.23,3.661006259,12.88984456
50,323.15,1.838383838,9.54,3.661006259,13.2054885
50,323.15,1.904040404,9.85,3.661006259,13.50939843
50,323.15,1.96969697,10.14,3.661006259,13.80036152
50,323.15,2.035353535,10.42,3.661006259,14.07709303
50,323.15,2.101010101,10.68,3.661006259,14.33820176
50,323.15,2.166666667,10.92,3.661006259,14.58219293
50,323.15,2.232323232,11.15,3.661006259,14.80743095
50,323.15,2.297979798,11.35,3.661006259,15.01213829
50,323.15,2.363636364,11.53,3.661006259,15.1943636
50,323.15,2.429292929,11.69,3.661006259,15.3519584
50,323.15,2.494949495,11.82,3.661006259,15.48256096
50,323.15,2.560606061,11.92,3.661006259,15.58354363
50,323.15,2.626262626,11.99,3.661006259,15.65199799
50,323.15,2.691919192,12.02,3.661006259,15.6846808
50,323.15,2.757575758,12.02,3.661006259,15.67796781
50,323.15,2.823232323,11.97,3.661006259,15.62779611
50,323.15,2.888888889,11.87,3.661006259,15.52960672
50,323.15,2.954545455,11.72,3.661006259,15.37825492
50,323.15,3.02020202,11.51,3.661006259,15.16793025
50,323.15,3.085858586,11.23,3.661006259,14.89204501
50,323.15,3.151515152,10.88,3.661006259,14.54311205
50,323.15,3.217171717,10.45,3.661006259,14.11258357
50,323.15,3.282828283,9.93,3.661006259,13.59070015
50,323.15,3.348484848,9.31,3.661006259,12.9662261
50,323.15,3.414141414,8.57,3.661006259,12.22623748
50,323.15,3.47979798,7.69,3.661006259,11.35579251
50,323.15,3.545454545,6.68,3.661006259,10.337525
50,323.15,3.611111111,5.49,3.661006259,9.151195288
50,323.15,3.676767677,4.11,3.661006259,7.773101374
50,323.15,3.742424242,2.51,3.661006259,6.175333267
50,323.15,3.808080808,0.66,3.661006259,4.324887169
50,323.15,3.873737374,-1.48,3.661006259,2.18248381
50,323.15,3.939393939,-3.96,3.661006259,-0.298900801
50,323.15,4.005050505,-6.84,3.661006259,-3.175947752
50,323.15,4.070707071,-10.18,3.661006259,-6.517485325
50,323.15,4.136363636,-14.07,3.661006259,-10.40780345
50,323.15,4.202020202,-18.61,3.661006259,-14.95109501
50,323.15,4.267676768,-23.94,3.661006259,-20.27753454
50,323.15,4.333333333,-30.21,3.661006259,-26.55178103
50,323.15,4.398989899,-37.65,3.661006259,-33.98513794
50,323.15,4.464646465,-46.51,3.661006259,-42.85351722
50,323.15,4.53030303,-57.19,3.661006259,-53.52486067
50,323.15,4.595959596,NaN,3.661006259,NaN
50,323.15,4.661616162,-86.16,3.661006259,-82.50154099
50,323.15,4.727272727,NaN,3.661006259,NaN
50,323.15,4.792929293,NaN,3.661006259,NaN
50,323.15,4.858585859,NaN,3.661006259,NaN
50,323.15,4.924242424,NaN,3.661006259,NaN
50,323.15,4.98989899,NaN,3.661006259,NaN
50,323.15,5.055555556,NaN,3.661006259,NaN
50,323.15,5.121212121,NaN,3.661006259,NaN
50,323.15,5.186868687,NaN,3.661006259,NaN
50,323.15,5.252525253,NaN,3.661006259,NaN
50,323.15,5.318181818,NaN,3.661006259,NaN
50,323.15,5.383838384,NaN,3.661006259,NaN
50,323.15,5.449494949,NaN,3.661006259,NaN
50,323.15,5.515151515,NaN,3.661006259,NaN
50,323.15,5.580808081,NaN,3.661006259,NaN
50,323.15,5.646464646,NaN,3.661006259,NaN
50,323.15,5.712121212,NaN,3.661006259,NaN
50,323.15,5.777777778,NaN,3.661006259,NaN
50,323.15,5.843434343,NaN,3.661006259,NaN
50,323.15,5.909090909,NaN,3.661006259,NaN
50,323.15,5.974747475,NaN,3.661006259,NaN
50,323.15,6.04040404,NaN,3.661006259,NaN
50,323.15,6.106060606,NaN,3.661006259,NaN
50,323.15,6.171717172,NaN,3.661006259,NaN
50,323.15,6.237373737,NaN,3.661006259,NaN
50,323.15,6.303030303,NaN,3.661006259,NaN
50,323.15,6.368686869,NaN,3.661006259,NaN
50,323.15,6.434343434,NaN,3.661006259,NaN
50,323.15,6.5,NaN,3.661006259,NaN
49.49494949,322.6449495,0,0.00,3.502999177,3.503000702
49.49494949,322.6449495,0.065656566,0.23,3.502999177,3.729645852
49.49494949,322.6449495,0.131313131,0.47,3.502999177,3.972033348
49.49494949,322.6449495,0.196969697,0.73,3.502999177,4.237200313
49.49494949,322.6449495,0.262626263,1.02,3.502999177,4.522551683
49.49494949,322.6449495,0.328282828,1.32,3.502999177,4.825362673
49.49494949,322.6449495,0.393939394,1.64,3.502999177,5.1431994
49.49494949,322.6449495,0.45959596,1.97,3.502999177,5.47390391
49.49494949,322.6449495,0.525252525,2.31,3.502999177,5.815561749
49.49494949,322.6449495,0.590909091,2.66,3.502999177,6.166473001
