T,M,LW,LW_t,LW_h,T_k
50,0,0,0,0,323
50,0.065656566,0.33,3.943731,3.943731,323
50,0.131313131,0.67,4.283731,4.283731,323
50,0.196969697,1,4.613731,4.613731,323
50,0.262626263,1.33,4.943731,4.943731,323
50,0.328282828,1.67,5.283731,5.283731,323
50,0.393939394,2.01,5.623731,5.623731,323
50,0.45959596,2.35,5.963731,5.963731,323
50,0.525252525,2.69,6.303731,6.303731,323
50,0.590909091,3.03,6.643731,6.643731,323
50,0.656565657,3.37,6.983731,6.983731,323
50,0.722222222,3.71,7.323731,7.323731,323
50,0.787878788,4.05,7.663731,7.663731,323
50,0.853535354,4.39,8.003731,8.003731,323
50,0.919191919,4.73,8.343731,8.343731,323
50,0.984848485,5.07,8.683731,8.683731,323
50,1.050505051,5.41,9.023731,9.023731,323
50,1.116161616,5.74,9.353731,9.353731,323
50,1.181818182,6.08,9.693731,9.693731,323
50,1.247474747,6.41,10.023731,10.023731,323
50,1.313131313,6.74,10.353731,10.353731,323
50,1.378787879,7.07,10.683731,10.683731,323
50,1.444444444,7.4,11.013731,11.013731,323
50,1.51010101,7.73,11.343731,11.343731,323
50,1.575757576,8.05,11.663731,11.663731,323
50,1.641414141,8.37,11.983731,11.983731,323
50,1.707070707,8.69,12.303731,12.303731,323
50,1.772727273,9.01,12.623731,12.623731,323
50,1.838383838,9.32,12.933731,12.933731,323
50,1.904040404,9.63,13.243731,13.243731,323
50,1.96969697,9.93,13.543731,13.543731,323
50,2.035353535,10.24,13.853731,13.853731,323
50,2.101010101,10.54,14.153731,14.153731,323
50,2.166666667,10.83,14.443731,14.443731,323
50,2.232323232,11.12,14.733731,14.733731,323
50,2.297979798,11.41,15.023731,15.023731,323
50,2.363636364,11.69,15.303731,15.303731,323
50,2.429292929,11.97,15.583731,15.583731,323
50,2.494949495,12.24,15.853731,15.853731,323
50,2.560606061,12.51,16.123731,16.123731,323
50,2.626262626,12.78,16.393731,16.393731,323
50,2.691919192,13.03,16.643731,16.643731,323
50,2.757575758,13.29,16.903731,16.903731,323
50,2.823232323,13.53,17.143731,17.143731,323
50,2.888888889,13.77,17.383731,17.383731,323
50,2.954545455,14.01,17.623731,17.623731,323
50,3.02020202,14.23,17.843731,17.843731,323
50,3.085858586,14.46,18.073731,18.073731,323
50,3.151515152,14.67,18.283731,18.283731,323
50,3.217171717,14.88,18.493731,18.493731,323
50,3.282828283,15.07,18.683731,18.683731,323
50,3.348484848,15.26,18.873731,18.873731,323
50,3.414141414,15.45,19.063731,19.063731,323
50,3.47979798,15.62,19.233731,19.233731,323
50,3.545454545,15.78,19.393731,19.393731,323
50,3.611111111,15.94,19.553731,19.553731,323
50,3.676767677,16.08,19.693731,19.693731,323
50,3.742424242,16.22,19.833731,19.833731,323
50,3.808080808,16.34,19.953731,19.953731,323
50,3.873737374,16.46,20.073731,20.073731,323
50,3.939393939,16.56,20.173731,20.173731,323
50,4.005050505,16.65,20.263731,20.263731,323
50,4.070707071,16.73,20.343731,20.343731,323
50,4.136363636,16.79,20.403731,20.403731,323
