T,M,LW,LW_t,LW_h,T_k
50,0,0,3.613731,3.613731,323
50,0.065656566,0.24,3.853731,3.853731,323
50,0.131313131,0.47,4.083731,4.083731,323
50,0.196969697,0.72,4.333731,4.333731,323
50,0.262626263,0.98,4.593731,4.593731,323
50,0.328282828,1.24,4.853731,4.853731,323
50,0.393939394,1.5,5.113731,5.113731,323
50,0.45959596,1.77,5.383731,5.383731,323
50,0.525252525,2.05,5.663731,5.663731,323
50,0.590909091,2.32,5.933731,5.933731,323
50,0.656565657,2.6,6.213731,6.213731,323
50,0.722222222,2.89,6.503731,6.503731,323
50,0.787878788,3.18,6.793731,6.793731,323
50,0.853535354,3.47,7.083731,7.083731,323
50,0.919191919,3.76,7.373731,7.373731,323
50,0.984848485,4.06,7.673731,7.673731,323
50,1.050505051,4.36,7.973731,7.973731,323
50,1.116161616,4.66,8.273731,8.273731,323
50,1.181818182,4.96,8.573731,8.573731,323
50,1.247474747,5.26,8.873731,8.873731,323
50,1.313131313,5.57,9.183731,9.183731,323
50,1.378787879,5.87,9.483731,9.483731,323
50,1.444444444,6.17,9.783731,9.783731,323
50,1.51010101,6.47,10.083731,10.083731,323
50,1.575757576,6.76,10.373731,10.373731,323
50,1.641414141,7.04,10.653731,10.653731,323
50,1.707070707,7.31,10.923731,10.923731,323
50,1.772727273,7.58,11.193731,11.193731,323
50,1.838383838,7.82,11.433731,11.433731,323
50,1.904040404,8.05,11.663731,11.663731,323
50,1.96969697,8.26,11.873731,11.873731,323
50,2.035353535,8.44,12.053731,12.053731,323
50,2.101010101,8.59,12.203731,12.203731,323
50,2.166666667,8.7,12.313731,12.313731,323
50,2.232323232,8.77,12.383731,12.383731,323
50,2.297979798,8.8,12.413731,12.413731,323
50,2.363636364,8.77,12.383731,12.383731,323
50,2.429292929,8.68,12.293731,12.293731,323
50,2.494949495,8.52,12.133731,12.133731,323
50,2.560606061,8.28,11.893731,11.893731,323
50,2.626262626,7.94,11.553731,11.553731,323
50,2.691919192,7.5,11.113731,11.113731,323
