T,M,LW,LW_t,LW_heat,T_k
50,0,0,3.613731,3.613731,323
50,0.065656566,0.48,4.093731,4.093731,323
50,0.131313131,1,4.613731,4.613731,323
50,0.196969697,1.56,5.173731,5.173731,323
50,0.262626263,2.14,5.753731,5.753731,323
50,0.328282828,2.74,6.353731,6.353731,323
50,0.393939394,3.35,6.963731,6.963731,323
50,0.45959596,3.97,7.583731,7.583731,323
50,0.525252525,4.59,8.203731,8.203731,323
50,0.590909091,5.2,8.813731,8.813731,323
50,0.656565657,5.8,9.413731,9.413731,323
50,0.722222222,6.38,9.993731,9.993731,323
50,0.787878788,6.93,10.543731,10.543731,323
50,0.853535354,7.43,11.043731,11.043731,323
50,0.919191919,7.88,11.493731,11.493731,323
50,0.984848485,8.25,11.863731,11.863731,323
50,1.050505051,8.53,12.143731,12.143731,323
50,1.116161616,8.7,12.313731,12.313731,323
50,1.181818182,8.73,12.343731,12.343731,323
50,1.247474747,8.59,12.203731,12.203731,323
50,1.313131313,8.25,11.863731,11.863731,323
50,1.378787879,7.66,11.273731,11.273731,323
50,1.444444444,6.78,10.393731,10.393731,323
50,1.51010101,5.55,9.163731,9.163731,323
50,1.575757576,3.89,7.503731,7.503731,323
50,1.641414141,1.73,5.343731,5.343731,323
50,1.707070707,NaN,NaN,#VALUE!,323
50,1.772727273,NaN,NaN,#VALUE!,323
50,1.838383838,NaN,NaN,#VALUE!,323
50,1.904040404,NaN,NaN,#VALUE!,323
50,1.96969697,NaN,NaN,#VALUE!,323
50,2.035353535,NaN,NaN,#VALUE!,323
50,2.101010101,NaN,NaN,#VALUE!,323
50,2.166666667,NaN,NaN,#VALUE!,323
50,2.232323232,NaN,NaN,#VALUE!,323
50,2.297979798,NaN,NaN,#VALUE!,323
50,2.363636364,NaN,NaN,#VALUE!,323
50,2.429292929,NaN,NaN,#VALUE!,323
50,2.494949495,NaN,NaN,#VALUE!,323
50,2.560606061,NaN,NaN,#VALUE!,323
50,2.626262626,NaN,NaN,#VALUE!,323
50,2.691919192,NaN,NaN,#VALUE!,323
50,2.757575758,NaN,NaN,#VALUE!,323
50,2.823232323,NaN,NaN,#VALUE!,323
50,2.888888889,NaN,NaN,#VALUE!,323
50,2.954545455,NaN,NaN,#VALUE!,323
50,3.02020202,NaN,NaN,#VALUE!,323
50,3.085858586,NaN,NaN,#VALUE!,323
50,3.151515152,NaN,NaN,#VALUE!,323
50,3.217171717,NaN,NaN,#VALUE!,323
50,3.282828283,NaN,NaN,#VALUE!,323
50,3.348484848,NaN,NaN,#VALUE!,323
50,3.414141414,NaN,NaN,#VALUE!,323
50,3.47979798,NaN,NaN,#VALUE!,323
50,3.545454545,NaN,NaN,#VALUE!,323
50,3.611111111,NaN,NaN,#VALUE!,323
50,3.676767677,NaN,NaN,#VALUE!,323
50,3.742424242,NaN,NaN,#VALUE!,323
50,3.808080808,NaN,NaN,#VALUE!,323
50,3.873737374,NaN,NaN,#VALUE!,323
50,3.939393939,NaN,NaN,#VALUE!,323
50,4.005050505,NaN,NaN,#VALUE!,323
50,4.070707071,NaN,NaN,#VALUE!,323
50,4.136363636,NaN,NaN,#VALUE!,323
50,4.202020202,NaN,NaN,#VALUE!,323
50,4.267676768,NaN,NaN,#VALUE!,323
50,4.333333333,NaN,NaN,#VALUE!,323
50,4.398989899,NaN,NaN,#VALUE!,323
50,4.464646465,NaN,NaN,#VALUE!,323
50,4.53030303,NaN,NaN,#VALUE!,323
50,4.595959596,NaN,NaN,#VALUE!,323
50,4.661616162,NaN,NaN,#VALUE!,323
50,4.727272727,NaN,NaN,#VALUE!,323
50,4.792929293,NaN,NaN,#VALUE!,323
50,4.858585859,NaN,NaN,#VALUE!,323
50,4.924242424,NaN,NaN,#VALUE!,323
50,4.98989899,NaN,NaN,#VALUE!,323
50,5.055555556,NaN,NaN,#VALUE!,323
50,5.121212121,NaN,NaN,#VALUE!,323
50,5.186868687,NaN,NaN,#VALUE!,323
50,5.252525253,NaN,NaN,#VALUE!,323
50,5.318181818,NaN,NaN,#VALUE!,323
50,5.383838384,NaN,NaN,#VALUE!,323
50,5.449494949,NaN,NaN,#VALUE!,323
50,5.515151515,NaN,NaN,#VALUE!,323
50,5.580808081,NaN,NaN,#VALUE!,323
50,5.646464646,NaN,NaN,#VALUE!,323
50,5.712121212,NaN,NaN,#VALUE!,323
50,5.777777778,NaN,NaN,#VALUE!,323
50,5.843434343,NaN,NaN,#VALUE!,323
50,5.909090909,NaN,NaN,#VALUE!,323
50,5.974747475,NaN,NaN,#VALUE!,323
50,6.04040404,NaN,NaN,#VALUE!,323
50,6.106060606,NaN,NaN,#VALUE!,323
50,6.171717172,NaN,NaN,#VALUE!,323
50,6.237373737,NaN,NaN,#VALUE!,323
50,6.303030303,NaN,NaN,#VALUE!,323
50,6.368686869,NaN,NaN,#VALUE!,323
50,6.434343434,NaN,NaN,#VALUE!,323
50,6.5,NaN,NaN,#VALUE!,323
